,기업명,ESG등급,환경,사회,지배구조
0,두산,A+,A+,A+,A
1,케이티,A+,A,A,A+
2,BNK금융지주,A+,B+,A+,A+
3,SK,A+,A,A+,A+
4,SK네트웍스,A+,B+,A+,A+
5,효성첨단소재,A+,A+,A+,A
6,DGB금융지주,A+,A,A+,A+
7,S-OIL,A+,A,A+,A+
8,포스코인터내셔널,A+,A,A+,A+
9,JB금융지주,A+,A,A,A+
10,SK텔레콤,A+,A+,A,A+
11,신한지주,A+,A+,A,A+
12,효성화학,A+,A+,A+,A
13,풀무원,A+,A,A+,A+
14,KB금융,A+,A+,A+,A+
15,효성티앤씨,A+,A+,A+,A
16,CJ대한통운,A,A,B+,A
17,한화,A,B+,A,A
18,롯데푸드,A,B+,A+,B+
19,롯데정밀화학,A,A,A+,A
20,현대자동차,A,A,A+,A
21,GS건설,A,A,B+,A
22,삼성전기,A,A,A+,A
23,현대미포조선,A,A,A+,A
24,금호석유화학,A,B+,A,A
25,현대엘리베이터,A,B+,A,A
26,롯데쇼핑,A,A,A+,A
27,두산중공업,A,A,A+,B+
28,두산인프라코어,A,A,A+,A
29,현대백화점,A,B+,A,A
30,LIG넥스원,A,B+,A,A
31,아모레퍼시픽,A,A,A+,A
32,이마트,A,A,A+,A
33,현대중공업지주,A,B+,A,A
34,롯데정보통신,A,B+,A,A
35,기아자동차,A,A,A+,B+
36,CJ,A,B,A,A
37,아모레퍼시픽그룹,A,A,A+,A
38,한솔홀딩스,A,B+,A,A
39,현대그린푸드,A,B+,A,A
40,삼성SDI,A,A,A,A
41,한화솔루션,A,A,A,B+
42,LG이노텍,A,A,A+,B+
43,SKC,A,B+,A+,A
44,삼성에스디에스,A,B+,A+,A
45,삼성엔지니어링,A,A,A+,A
46,LG디스플레이,A,B+,A+,B+
47,한국항공우주,A,A,A+,A
48,지역난방공사,A,B+,A+,B+
49,HSD엔진,A,B+,A,A
50,SK이노베이션,A,A,A+,A
51,해성디에스,A,A,A,A
52,현대일렉트릭,A,A,A+,A
53,효성중공업,A,A,A+,A
54,SK하이닉스,A,A,A+,A
55,LG상사,A,A,A+,A
56,대한항공,A,A,A+,B+
57,신세계,A,B+,A,A
58,포스코,A,A,B+,A+
59,미래에셋대우,A,B+,A+,B+
60,OCI,A,A,A+,A
61,롯데케미칼,A,B+,A,A
62,현대모비스,A,B+,A+,A
63,SK가스,A,B+,A+,A
64,삼성물산,A,A+,A,B+
65,강원랜드,A,B,A,A
66,LG생활건강,A,A,A+,A
67,롯데하이마트,A,B+,A+,A
68,현대글로비스,A,A,A+,A
69,CJ제일제당,A,A,A+,A
70,만도,A,A,A+,A
71,현대건설기계,A,B+,A,A
72,현대건설,A,A+,A,A
73,현대해상,A,B+,A,A
74,LG,A,B+,A+,B+
75,효성,A,A,A+,B+
76,삼성전자,A,A,A+,B+
77,대덕전자,A,B+,A,A
78,엘에스일렉트릭,A,B+,A+,B+
79,HMM,A,A,A+,A
80,한화에어로스페이스,A,A,A,A
81,한섬,A,B+,A,A
82,신세계인터내셔날,A,B,A,A
83,NAVER,A,B+,A,A+
84,현대홈쇼핑,A,A,A,A
85,CJCGV,A,B,A,A
86,하나금융지주,A,A,A,A
87,LG하우시스,A,A,A+,A
88,한솔제지,A,A,A,A
89,롯데제과,A,A,A+,B+
90,삼성화재,A,A+,A+,A
91,현대차증권,A,B,A+,A
92,포스코케미칼,A,A,A+,B+
93,빙그레,A,B+,A+,A
94,SK디스커버리,A,B,A,A
95,호텔신라,A,A,A,A
96,한솔피엔에스,A,B+,B+,A
97,현대위아,A,A,A+,A
98,한국전력공사,A,B+,A,A
99,코웨이,A,A,A+,B+
100,케이티앤지,A,B+,A+,A
101,한국가스공사,A,B+,A+,B+
102,포스코강판,A,B+,A+,B+
103,현대리바트,A,B,A,A
104,한화생명,A,A,A+,B+
105,한미약품,A,B+,A+,B+
106,일동제약,A,B+,A+,B+
107,BGF리테일,A,B+,B+,A
108,GS홈쇼핑,A,B+,A,A
109,에버다임,A,B+,B+,A
110,CJ프레시웨이,A,B,A+,A
111,삼양홀딩스,B+,B,B+,B+
112,삼화페인트공업,B+,B,B+,B+
113,동국제강,B+,B+,A,B
114,케이씨씨,B+,B+,A,B
115,한화투자증권,B+,B,A,B+
116,농심,B+,B+,A,B
117,한솔테크닉스,B+,B+,B+,A
118,삼영전자공업,B+,B+,B+,B
119,LS,B+,B,B+,A
120,오뚜기,B+,B+,A,B
121,한샘,B+,B+,A+,B
122,고려아연,B+,B+,B,B+
123,한솔케미칼,B+,B,B+,B+
124,한온시스템,B+,B,B+,B+
125,BGF,B+,B,A,B+
126,삼성생명,B+,A,A,B+
127,LG헬로비전,B+,D,B+,A
128,한전KPS,B+,B+,A,B+
129,한라홀딩스,B+,B,B+,A
130,대웅제약,B+,B,A,B+
131,휴비스,B+,B+,B+,B+
132,풍산,B+,B+,A,B+
133,인터지스,B+,B,B,B+
134,삼양사,B+,B+,B+,B
135,한진칼,B+,B,B,A
136,이노션,B+,D,A,A
137,오리온,B+,B,B+,A
138,유한양행,B+,B+,B+,B+
139,롯데손해보험,B+,C,A,A
140,대한전선,B+,B,B+,B+
141,한독,B+,B+,B+,B
142,S&T중공업,B+,B+,B+,B+
143,삼익THK,B+,B,B,B+
144,롯데지주,B+,B,A,B
145,넥센,B+,B,B+,B+
146,녹십자,B+,B,A,B
147,서연,B+,C,B+,B+
148,태영건설,B+,B,B+,B+
149,삼성중공업,B+,B+,B,A
150,한라,B+,B,B+,B+
151,대교,B+,D,B+,A
152,팬오션,B+,B,B,A
153,신세계I&C,B+,B,B+,B+
154,광주신세계,B+,C,A,B+
155,한전기술,B+,B+,A,B+
156,현대로템,B+,B,A,B+
157,코아스,B+,B,B,B+
158,휠라홀딩스,B+,B,B+,B+
159,우진,B+,B,B,B+
160,한전산업,B+,B,B+,B+
161,한국타이어앤테크놀로지,B+,A,A+,B
162,아세아시멘트,B+,B+,B+,B
163,JW생명과학,B+,B+,B+,B+
164,진에어,B+,C,B+,A
165,대림산업,B+,A,B+,B+
166,가온전선,B+,B,B+,B+
167,오리온홀딩스,B+,C,B+,A
168,선창산업,B+,B,B,B+
169,쌍용자동차,B+,B+,B,B+
170,깨끗한나라,B+,B,B+,B+
171,코스모신소재,B+,B+,B,B+
172,DB손해보험,B+,A,A,B+
173,카프로,B+,B+,B,B+
174,메리츠종금증권,B+,B,A,B+
175,경동나비엔,B+,B,B+,B+
176,HDC,B+,C,B+,B+
177,삼성증권,B+,B,A+,B
178,기업은행,B+,B+,A,B+
179,케이씨,B+,B,B,B+
180,카카오,B+,C,A+,A
181,대우조선해양,B+,B+,B,A
182,케이티스카이라이프,B+,C,B+,B+
183,S&T모티브,B+,B,B+,B+
184,농심홀딩스,B+,B,B+,B+
185,효성ITX,B+,C,B+,B+
186,GKL,B+,C,A,A
187,메리츠금융지주,B+,D,B+,A
188,한국콜마,B+,B,B+,B+
189,코스맥스,B+,B+,B+,B
190,두산밥캣,B+,D,A,A
191,SK케미칼,B+,B+,A,B+
192,일동홀딩스,B+,B,A,B+
193,동아쏘시오홀딩스,B+,C,A,A
194,도화엔지니어링,B+,B,B,B+
195,동양물산기업,B+,B,B+,B+
196,현대제철,B+,B+,A,B+
197,현대비앤지스틸,B+,B+,A,B+
198,롯데칠성음료,B+,B+,A,B+
199,NH투자증권,B+,B,A+,B+
200,한일현대시멘트,B+,B,B+,B+
201,한솔로지스틱스,B+,B,B+,A
202,한국조선해양,B+,B+,B+,A
203,에스원,B+,B,A,B+
204,우신시스템,B+,B,B,B+
205,대원화성,B+,B+,B,B+
206,제일기획,B+,D,A,B+
207,S&T홀딩스,B+,C,B+,B+
208,KSS해운,B+,B,B+,B+
209,한미글로벌,B+,B,B+,B+
210,LG전자,B+,A,A+,B
211,STX엔진,B+,B+,B+,B
212,JW홀딩스,B+,C,B+,B+
213,코오롱인더,B+,B+,B+,B+
214,엔에스쇼핑,B+,C,B+,A
215,동일고무벨트,B+,B,B+,B+
216,서연이화,B+,B,B+,B+
217,화승엔터프라이즈,B+,B+,B,A
218,우리금융지주,B+,B+,B+,B+
219,한화손해보험,B+,B,A,B
220,DB하이텍,B+,B+,A,B+
221,넥센타이어,B+,B+,B+,B
222,쌍용양회공업,B+,B,B+,B+
223,세방,B+,B,B+,B+
224,삼천리,B+,B+,A,B+
225,SPC삼립,B+,B,A,B
226,제주은행,B+,C,A,A
227,AK홀딩스,B+,C,B+,B+
228,무림페이퍼,B+,B+,B+,B+
229,무림P&P,B+,B+,B+,B+
230,화승알앤에이,B+,B+,B+,B+
231,한국카본,B+,B,B,B+
232,한솔홈데코,B+,B,B+,A
233,신세계푸드,B+,B,B+,B+
234,엔씨소프트,B+,D,B+,A
235,대우건설,B+,A,B+,B+
236,테이팩스,B+,B+,B+,B
237,셀트리온,B+,B,B,B+
238,GS,B+,C,A,A
239,S&TC,B+,B,B,B+
240,현대에이치씨엔,B+,C,A,A
241,코오롱플라스틱,B+,B,B+,B+
242,동아에스티,B+,D,B+,A
243,삼성바이오로직스,B+,B,A,B+
244,경동도시가스,B+,B,A,B+
245,하림지주,B+,C,B+,A
246,KTH,B+,C,B+,B+
247,고영,B+,B,B+,B+
248,포스코엠텍,B+,B,B+,B+
249,SK머티리얼즈,B+,B,A,B+
250,매일유업,B+,B+,B+,B+
251,포스코ICT,B+,B,A,B+
252,삼표시멘트,B+,B+,B,B+
253,한국아트라스비엑스,B+,B,B,B+
254,안랩,B+,C,B+,B+
255,CJENM,B+,C,A,A
256,에스에프에이,B+,B,B+,B+
257,동화약품,B,D,B+,B
258,한국테크놀로지그룹,B,B+,B+,B
259,천일고속,B,C,B,B+
260,JW중외제약,B,B,B+,B
261,부국증권,B,D,B,B
262,대상,B,B,B+,B
263,코오롱,B,C,B+,B
264,화성산업,B,C,B,B+
265,세아제강지주,B,C,B,B
266,삼양식품,B,B,B,B
267,대신증권,B,D,B+,B+
268,신흥,B,D,B,B
269,대림씨엔에스,B,C,B,B+
270,동일산업,B,B+,C,B+
271,크라운해태홀딩스,B,D,B+,B
272,화승인더스트리,B,B,B,B+
273,영풍제지,B,B,C,B
274,일양약품,B,D,B,B+
275,남선알미늄,B,C,B+,B
276,광동제약,B,C,B+,B+
277,모토닉,B,B,B,B
278,아이에스동서,B,B,B,B+
279,STX,B,C,B+,B
280,경동인베스트,B,C,B,B+
281,일성건설,B,B,B,B
282,대창단조,B,B,B,B
283,동부제철,B,B,B+,B
284,두올,B,C,B,B+
285,광전자,B,C,B,B+
286,신풍제약,B,D,B,B+
287,아시아나항공,B,B+,B+,C
288,한국종합기술,B,B,C,B
289,메리츠화재,B,D,B+,B+
290,대원강업,B,B,B+,B
291,LS네트웍스,B,D,B+,B
292,유진투자증권,B,C,B+,B
293,태원물산,B,B,C,B
294,신영증권,B,D,B,B+
295,한국수출포장공업,B,B,C,B
296,조흥,B,B,C,B
297,코오롱글로벌,B,C,B,B+
298,한일홀딩스,B,D,B+,B+
299,아이에이치큐,B,D,B,B+
300,태양금속공업,B,B+,B,B
301,삼화왕관,B,B,C,B
302,녹십자홀딩스,B,C,B+,B
303,대림비앤코,B,C,B,B+
304,삼아알미늄,B,B,C,B
305,신송홀딩스,B,D,B,B+
306,선도전기,B,B,C,B
307,율촌화학,B,C,B+,B+
308,참엔지니어링,B,B,B,B
309,영원무역홀딩스,B,D,B,B
310,에넥스,B,B,B+,B
311,DB,B,D,B,B
312,더존비즈온,B,C,B+,B
313,계룡건설산업,B,B,B,B+
314,부산도시가스,B,C,B+,B+
315,한세예스24홀딩스,B,C,B,B
316,퍼시스,B,B,B,B
317,E1,B,C,A,B+
318,티에이치엔,B,B,B,B
319,일진디스플,B,B,B,B
320,다우기술,B,C,B+,B
321,하이트진로,B,B,B,B
322,대동공업,B,B,B,B
323,유수홀딩스,B,C,B,B+
324,금호전기,B,B,B,B
325,세아베스틸,B,B,B,B+
326,알루코,B,B,B,B
327,고려제강,B,B+,B+,C
328,제일파마홀딩스,B,D,B,B
329,디아이,B,B,B,B
330,유안타증권,B,D,B+,B
331,방림,B,B,C,B
332,현대약품,B,B,B+,B
333,세방전지,B,B+,B,B
334,국동,B,D,C,B+
335,풍산홀딩스,B,B,B+,B
336,대구백화점,B,D,B,B+
337,GS리테일,B,C,B+,B+
338,이수페타시스,B,B+,B+,C
339,한미사이언스,B,B,B,B
340,한올바이오파마,B,D,B+,B
341,우리종금,B,D,B,B
342,CJ씨푸드,B,C,B+,B+
343,영흥철강,B,C,B,B+
344,청호컴넷,B,B,C,B
345,영보화학,B,B,B,B
346,예스코홀딩스,B,D,B+,B+
347,환인제약,B,D,B+,B+
348,웅진,B,D,B,B+
349,애경산업,B,C,B+,B+
350,세아특수강,B,B,C,B
351,서원,B,B,C,B
352,한국콜마홀딩스,B,B,B,B
353,하이트진로홀딩스,B,C,B,B
354,삼일제약,B,D,B+,B
355,강남제비스코,B,B,C,B
356,GS글로벌,B,D,B+,B+
357,BYC,B,D,B,B+
358,삼화콘덴서공업,B,B,B,B
359,아세아제지,B,C,B,B
360,신풍제지,B,B+,C,B
361,일신방직,B,B,B,B
362,한진중공업홀딩스,B,D,C,B+
