,기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도,비고
0,AJ네트웍스,95570,B,D,B,B,2021,-
1,AK홀딩스,6840,B+,B,B+,B+,2021,-
2,AP시스템,265520,D,D,D,C,2021,-
3,BGF,27410,A,A,A+,A,2021,-
4,BGF리테일,282330,A,A,A+,A,2021,-
5,BNK금융지주,138930,A+,A,A+,A+,2021,-
7,BYC,1460,B,D,B,B+,2021,-
8,CJ,1040,A,B+,A+,A,2021,-
9,CJ CGV,79160,A,B,A,A,2021,-
10,CJ ENM,35760,A,B,A+,A,2021,-
11,CJ대한통운,120,A,A,A+,A,2021,-
12,CJ씨푸드,11150,B,C,B+,B+,2021,-
13,CJ제일제당,97950,A,A,A+,A,2021,-
14,CJ프레시웨이,51500,A,B,A,A,2021,-
15,CMG제약,58820,C,D,C,C,2021,-
16,CS홀딩스,590,B,D,C,B+,2021,-
17,DB,12030,B,D,B+,B+,2021,-
18,DB금융투자,16610,B,D,B+,B,2021,-
20,DB손해보험,5830,A,A,A+,B+,2021,-
21,DB하이텍,990,A,A,A,A,2021,-
22,DGB금융지주,139130,A+,A,A+,A+,2021,-
24,DL,210,A,A+,A+,B+,2021,-
25,DL건설,1880,B+,B+,A,B+,2021,-
26,DRB동일,4840,B+,B,B+,B+,2021,-
27,DSR,155660,B,B,B,B,2021,-
28,DSR제강,69730,C,C,C,B+,2021,-
29,E1,17940,B+,B+,A,B+,2021,-
30,F&F 홀딩스,7700,B+,B+,A,B+,2021,-
31,GKL,114090,B+,B+,B+,B+,2021,-
32,GS,78930,A,A,A,A,2021,-
33,GS건설,6360,A,A,A+,A,2021,-
34,GS글로벌,1250,B+,B,B+,A,2021,-
35,GS리테일,7070,A,A,A,A,2021,-
36,HDC,12630,B+,B,B+,A,2021,-
37,HDC아이콘트롤스,39570,B,C,B,B+,2021,-
38,HDC현대EP,89470,B+,B,B+,B+,2021,-
39,HDC현대산업개발,294870,B,B,C,B+,2021,2022-2분기
40,HMM,11200,A,A,A+,A,2021,-
41,HSD엔진,82740,A,B+,A,A,2021,-
42,JB금융지주,175330,A+,A,A+,A+,2021,-
43,JW생명과학,234080,B,B,B+,B,2021,-
44,JW중외제약,1060,B,C,B+,B+,2021,-
45,JW홀딩스,96760,B,D,B+,B+,2021,-
46,JYP Ent.,35900,B,D,B,B,2021,-
47,KB금융,105560,A+,A+,A+,A+,2021,-
49,KCC건설,21320,C,C,B,B,2021,-
50,KCI,36670,C,C,C,B,2021,-
51,KC그린홀딩스,9440,B,D,C,B+,2021,-
52,KC코트렐,119650,C,D,C,B+,2021,-
53,KEC,92220,B,B,B+,B,2021,-
54,KG ETS,151860,B,B+,C,B,2021,-
55,KG동부제철,16380,B,B+,B,B,2021,-
56,KG모빌리언스,46440,C,D,C,C,2021,-
57,KG이니시스,35600,C,D,B+,C,2021,-
58,KG케미칼,1390,C,C,C,B,2021,-
59,KH 필룩스,33180,C,C,B,C,2021,-
60,KH바텍,60720,B,B,B,B,2021,-
61,KISCO홀딩스,1940,B,B,B,B,2021,-
62,KPX케미칼,25000,C,B,C,C,2021,-
63,KPX홀딩스,92230,B,B,C,B+,2021,-
64,KR모터스,40,C,D,C,B,2021,-
65,KSS해운,44450,A,B+,A+,A,2021,-
66,KTB투자증권,30210,B+,C,A,B+,2021,-
67,KTcs,58850,A,B+,A,A,2021,-
68,KTis,58860,A,B+,A+,A,2021,-
69,KT서브마린,60370,B,C,B,B+,2021,-
70,LF,93050,B,D,B,B+,2021,-
71,LG,3550,A,A,A+,A,2021,-
72,LG디스플레이,34220,B+,B,A,B+,2021,-
73,LG생활건강,51900,A,A,A+,A,2021,-
74,LG유플러스,32640,A,A,A+,A,2021,-
75,LG이노텍,11070,A,A,A+,A,2021,-
76,LG전자,66570,A,A,A+,A,2021,-
77,LG헬로비전,37560,B+,C,A,A,2021,-
78,LG화학,51910,B+,B+,A,B+,2021,-
79,LIG넥스원,79550,A,A,A+,A,2021,-
80,LS,6260,A,B+,A+,B+,2021,-
81,LS네트웍스,680,C,D,C,B,2021,-
82,LS전선아시아,229640,B,D,C,B+,2021,-
83,LX세미콘,108320,B+,B,B+,B+,2021,-
84,LX인터내셔널,1120,A,A,A+,A,2021,-
85,LX하우시스,108670,A,A,A+,A,2021,-
86,MH에탄올,23150,B,B,D,B+,2021,-
87,NAVER,35420,A+,A,A,A+,2021,-
88,NHN한국사이버결제,60250,C,D,C,B,2021,-
90,NH투자증권,5940,A,A,A+,A,2021,-
91,NICE,34310,B+,B,A,B+,2021,-
92,NICE평가정보,30190,B+,B,A,B,2021,-
93,NI스틸,8260,C,D,C,B,2021,-
94,OCI,10060,A,B+,A+,A,2021,-
95,PI첨단소재,178920,B+,B+,B,B+,2021,-
96,RFHIC,218410,C,D,C,B,2021,-
97,S-Oil,10950,A,B+,A+,A+,2021,2022-3분기
98,SBS,34120,B,D,B+,B+,2021,-
99,SBS미디어홀딩스,101060,B,D,B+,B,2021,-
100,SBS콘텐츠허브,46140,B,D,B,B,2021,-
101,SFA반도체,36540,C,B+,B,C,2021,-
102,SGC에너지,5090,B+,B+,A,B+,2021,-
103,SGC이테크건설,16250,C,C,C,B+,2021,-
104,SG글로벌,1380,C,C,C,C,2021,-
105,SG세계물산,4060,C,D,B,C,2021,-
106,SH에너지화학,2360,B,B,D,B+,2021,-
