Column1,특성추출(가중치순 상위 50개),종목명
0,"친환경,CU,편의점,비닐봉투,가맹점주,환경보호,리테일,BGF리테일,쇼퍼백,쇼핑백,양재석,간편식,제주도",BGF리테일
1,"ESG,부산은행,한영회계법인,지배구조,친환경,BNK,1000억,최고등급,보고서,검증보고서,한국,한국기업지배구조원,국제자본시장협회,금융회사,지방은행,구조원,BNK금융,BNK금융지주,발행,채권,금융,지배,기업,연속,사회,지방,경영,활동,인증,내부,구조,원화",BNK금융지주
2,"지배구조,우수기업,금융회사,구조원,BNK,김지완,BNK금융지주,거버넌스,이사회,안정성,금융사,투명성,한국기업지배구조원,한국,기업지배구조원,최우선,ESG,BNK금융그룹,지배,금융,기업,선정,구조,상위,그룹,평가,연속,지주,회사,개선,강화,환경,회장,우수,안정",BNK금융지주
3,"ESG,지배구조,BNK금융,만큼,경영진,BNK,이해관계자,최고등급,김지완,중요성,통제도,선진화,금융회사,기업가치,한국,한국기업지배구조원,구조원,BNK금융지주,금융,기업,지주,연속,강화,가치",BNK금융지주
4,"ESG,지배구조,금융회사,우수기업,김지완,한국기업지배구조원,구조원,BNK금융지주,ESG경영,만큼,BNK",BNK금융지주
5,"ESG,지배구조,우수기업,김지완,금융회사,BNK,만큼,이해관계자,모범적,핵심과제,한국,중요도,최고등급,기업가치,구조원,시상식,BNK금융지주,BNK금융,경영,기업,금융,선정,지배,그룹,구조,연속,강화,최고,상위,추진,체계,글로벌",BNK금융지주
6,"사모펀드,소속사,운용사,1조,대한항공,자동차,낸드,CJ,10조,폐기물,인텔,카카오뱅크,시총,여자친구,LG전자,기내식,골프장,다이내믹스,보스턴,전기차,세븐틴,매일경제,어펄마캐피탈",대한항공
7,"수소화물차,CJ,대한통운,올리브영,웨비,지속가능,4대,지배구조,화물차,경기도,자원부,군포,환경부,CJ올리브영,업무협약,클린뷰티,시범사업,CJ대한통운,울산,아시아태평양경제사회위원회,SPS,ESCAP,ESG,유엔,사례,사업,우수,모델",CJ대한통운
8,"CJ올리브영,CJ,UN,친환경,올리브영,클린뷰티,ESG,지속가능,우수사례,화장품,영수증,관계자",CJ
9,"클린뷰티,친환경,웨비,ESG,올리브영,지속가능,UN,관계자,CJ올리브영,유엔아시아태평양경제사회위원회,전문가들,CJ,엠블럼,후원기관,활동들,부여",CJ
10,"대한통운,UN,ESG,수소화물차,CJ대한통운,민간부문,우수사례,관계자,충북,전문가들,CJ,웨비",CJ대한통운
11,"친환경,대한통운,CJ대한통운,화물차,수소화물차,ESG,업사이클링,웨비,관계자,충북,전기화물차,CJ,UN",CJ대한통운
12,"대한통운,CJ대한통운,화물차,수소화물차,ESG,민간부문,ESCAP,업사이클링,우수사례,관계자,충전소,충북,아시아,전기화물차,태평양,UN,웨비,CJ",CJ대한통운
13,"CJ,제일제당,계열사,푸드빌,변호사,부사장,법무실장,과로사,위기관리,대한통운,CJ그룹,임원인사,식문화,코로나바이러스,최은석,그간,이선호,만큼,ENM,CEO",CJ
14,"UN,네트워크,BP,SK,ESG,SDGS,주요국,KB,CJ,한섬,넷플릭스,포드,보잉,롯데케미칼,지속가능",한섬
15,"UN,BP,SDGS,네트워크,CJ,한섬,김정훈,지속가능,한국,주요국,GRP,티자니,ESG",한섬
16,"친환경,UN,ESG,1위,상위그룹,현대백화점,최우수그룹,CJ,지속가능,SDGBI,위원회,의견서,29위,20여,현대홈쇼핑,000곳,포장재,한샘,어거스트러시",현대홈쇼핑
17,"일동제약,UN,SDGBI,SDGS,대한항공,대한통운,의약품,협의지위,현대,지배구조,현대홈쇼핑,경영진,공신력,이사회,현대엔지니어링,임직원,CJ,SK,지속가능개발목표경영지수,CJ대한통운,ESG",현대홈쇼핑
18,"우수기업,프레시웨이,한국,시상식,CJ프레시웨이,코스닥,서울,여의동,신진영,CJ,ESG,식품업,기념촬영,강연중,오른쪽,구조원,한국거래소,영등포구,식품업계,거래소,한국기업지배구조원,기업,선정,연속,평가,상무,지배,제공,우수,기념,원장,구조,촬영,주관,상장,수상",CJ프레시웨이
19,"UN,제일제당,최우수그룹,올리브영,CJ,고위급,CJ제일제당,유네스코,포장재,관계자,개발도상국,영수증,DEVELOPMENT,SDGBI,크로소프트,마이크로소프트,코카콜라,공신력,협의지위,지배구조",CJ제일제당
20,"네이버,클라우드,핀테크,친환경,비대면,온라인,웹툰,네이버웹툰,스마트스토어,1조,공정거래,2조,CJ",CJ
21,"네이버,클라우드,온라인,콘퍼런스콜,판매자,CJ,웹툰,한성숙,유럽,경영통합",CJ
22,"CJ,국제사회,UN,글로벌지수,상위그룹,인증서,고위급,ESG,000개,골드만삭스,레노버,링크드인,식문화,넷플릭스,문화혁신,인플루언,경영분석지수,지배구조,아마존,지속가능,정치회담,SDGBI,기생충,기업들",CJ
23,"1위,SDGBI,친환경,UN,지속가능경영,4곳,의견서,29위,반도체,ESG,SDGS,CJ,위원회",CJ
24,"우수기업,프레시웨이,CJ프레시웨이,ESG,CJ,구조원,코스닥,환경경영,국제표준,한국기업지배구조원,사업장,동반성장,공정거래,이해관계자,사회책임경영,위원회,이해관계자들,지배구조,사회공헌활동,독립성,윤리경영,지속가능성,식품업,사회책임경영부문,식품업계,부여",CJ프레시웨이
25,"우수기업,프레시웨이,ESG,CJ프레시웨이,구조원,코스닥,환경경영,국제표준,한국기업지배구조원,사업장,동반성장,공정거래,이해관계자,CJ,위원회,이해관계자들,독립성,사회공헌활동,윤리경영,지속가능성,식품업,식품업계,사회책임경영부문,부여,사회책임경영,환경부문,지배구조부문",CJ프레시웨이
26,"우수기업,프레시웨이,CJ프레시웨이,코스닥,ESG,환경경영,한국기업지배구조원,국제표준,구조원,사업장,동반성장,위원회,공정거래,이해관계자,독립성,CJ,이해관계자들,윤리경영,식품업,식품업계,지속가능성,사회책임경영부문,사회책임경영,부여,환경부문,한국,지배구조부문,지배구조,기업활동,ISO",CJ프레시웨이
27,"우수기업,프레시웨이,CJ프레시웨이,구조원,한국,ESG,코스닥,지속가능성,환경경영,국제표준,한국기업지배구조원,사업장,동반성장,공정거래,이해관계자,CJ,사회책임경영,위원회,이해관계자들,지배구조,사회공헌활동,독립성,시상식,윤리경영,식품업,식품업계,거래소,사회책임경영부문",CJ프레시웨이
28,"우수기업,프레시웨이,CJ프레시웨이,ESG,CJ,구조원,상장기업,한국,코스닥,식품업,국제표준,환경경영,한국기업지배구조원,식품업계,사업장,동반성장,공정거래,이해관계자,통합등급,사회책임경영,위원회,이해관계자들,지배구조,사회공헌활동,독립성,신진영,시상식",CJ프레시웨이
29,"우수기업,프레시웨이,CJ프레시웨이,ESG,CJ,한국,구조원,코스닥,환경경영,국제표준,한국기업지배구조원,사업장,동반성장,공정거래,이해관계자,위원회,이해관계자들,독립성,사회공헌활동,시상식,지속가능성,윤리경영,식품업,식품업계,거래소",CJ프레시웨이
30,"ESG,SK,CJ,계열사,블랙록,투자자,효성그룹,지주사,기업들,A등급,코로나,영업점,효성,투자자들,코로나19,지배구조,가능성,우리나라,유로,발전소",효성
31,"ESG,계열사,효성,CJ,지주사,SK,A등급,삼성,한화,효성그룹,그룹사,한화솔루션,효성중공업,지배구조,5곳,이사진,코로나바이러스",효성중공업
32,"지속가능경영,SDGBI,UN,CJ,ESG,7곳,위원회,한국,32곳,SDGS",CJ
33,"대한통운,CJ대한통운,관계자,ESG,배출량,한국기업지배구조원,구조원,지배구조,지배구조부문,사용량,A등급,평가서,통합등급,전기화물차,화물차,실버택배,제주도,우수등급,CJ,전동카트,사업장,부여,한국,투명경영,기업지배구조,지속가능경영활동,종합관리시스템,사회부문,환경부문",CJ대한통운
34,"대한통운,ESG,CJ대한통운,보고서,구조원,관계자,한국기업지배구조원,배출량,지속가능경영,우수등급,사용량,지배구조부문,전기화물차,베트남,화물차,실버택배,제주도,중국,지배구조,전동카트,사업장,CJ,미국,종합관리시스템,A등급",CJ대한통운
