,회사명,업종
0,AP시스템,특수 목적용 기계 제조업
1,BYC,봉제의복 제조업
2,CJ씨푸드,기타 식품 제조업
3,CJ제일제당,기타 식품 제조업
4,CMG제약,의약품 제조업
5,DB하이텍,반도체 제조업
6,DRB동일,고무제품 제조업
7,DSR,1차 비철금속 제조업
8,DSR제강,1차 철강 제조업
9,HDC현대EP,기타 화학제품 제조업
10,HSD엔진,일반 목적용 기계 제조업
11,JW생명과학,의약품 제조업
12,JW중외제약,의약품 제조업
13,KCI,기타 화학제품 제조업
14,KC코트렐,일반 목적용 기계 제조업
15,KEC,반도체 제조업
16,KG동부제철,1차 철강 제조업
17,KG케미칼,기초 화학물질 제조업
18,KH필룩스,전자부품 제조업
19,KH바텍,전자부품 제조업
20,KISCO홀딩스,1차 철강 제조업
21,KPX케미칼,기초 화학물질 제조업
22,KPX홀딩스,기초 화학물질 제조업
23,KR모터스,그외 기타 운송장비 제조업
24,LF,봉제의복 제조업
25,LG디스플레이,전자부품 제조업
26,LG생활건강,기타 화학제품 제조업
27,LG이노텍,전자부품 제조업
28,LG전자,통신 및 방송 장비 제조업
29,LG화학,기초 화학물질 제조업
30,LIG넥스원,무기 및 총포탄 제조업
31,LX세미콘,반도체 제조업
32,LX하우시스,플라스틱제품 제조업
33,MH에탄올,알코올음료 제조업
34,NI스틸,1차 철강 제조업
35,OCI,기초 화학물질 제조업
36,PI첨단소재,플라스틱제품 제조업
37,RFHIC,통신 및 방송 장비 제조업
38,S-OIL,석유 정제품 제조업
39,SFA반도체,반도체 제조업
40,SG글로벌,자동차 신품 부품 제조업
41,SH에너지화학,기초 화학물질 제조업
42,SIMPAC,1차 철강 제조업
43,SKC,기타 화학제품 제조업
44,SK머티리얼즈,반도체 제조업
45,SK이노베이션,석유 정제품 제조업
46,SK케미칼,합성고무 및 플라스틱 물질 제조업
47,SK하이닉스,반도체 제조업
48,SNT모티브,자동차 신품 부품 제조업
49,SNT에너지,일반 목적용 기계 제조업
50,SNT중공업,자동차 신품 부품 제조업
51,SPC삼립,기타 식품 제조업
52,STX엔진,일반 목적용 기계 제조업
53,STX중공업,일반 목적용 기계 제조업
54,SUN&L,나무제품 제조업
55,TCC스틸,1차 철강 제조업
56,TYM,특수 목적용 기계 제조업
57,WISCOM,플라스틱제품 제조업
58,가온전선,절연선 및 케이블 제조업
59,강남제비스코,기타 화학제품 제조업
60,경농,"비료, 농약 및 살균, 살충제 제조업"
61,경동나비엔,가정용 기기 제조업
62,경동도시가스,연료용 가스 제조 및 배관공급업
63,경보제약,기초 의약물질 및 생물학적 제제 제조업
64,경인양행,기초 화학물질 제조업
65,경인전자,전자부품 제조업
66,계양전기,일반 목적용 기계 제조업
67,고려산업,"곡물가공품, 전분 및 전분제품 제조업"
68,고려아연,1차 비철금속 제조업
69,고려제강,1차 철강 제조업
70,고영,특수 목적용 기계 제조업
71,광동제약,의약품 제조업
72,광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
73,광전자,반도체 제조업
74,국도화학,기초 화학물질 제조업
75,국일제지,기타 종이 및 판지 제품 제조업
76,국제약품,의약품 제조업
77,그린케미칼,기타 화학제품 제조업
78,극동유화,석유 정제품 제조업
79,금강공업,1차 철강 제조업
80,금비,유리 및 유리제품 제조업
81,금양,기초 화학물질 제조업
82,금호석유화학,기초 화학물질 제조업
83,금호에이치티,자동차 신품 부품 제조업
84,금호전기,전구 및 조명장치 제조업
85,금호타이어,고무제품 제조업
86,기신정기,특수 목적용 기계 제조업
87,기아,자동차용 엔진 및 자동차 제조업
88,깨끗한나라,"펄프, 종이 및 판지 제조업"
89,나노엔텍,의료용 기기 제조업
90,남선알미늄,1차 비철금속 제조업
91,남양유업,낙농제품 및 식용빙과류 제조업
92,남해화학,"비료, 농약 및 살균, 살충제 제조업"
93,네오팜,기타 화학제품 제조업
94,네이처셀,기초 의약물질 및 생물학적 제제 제조업
95,네패스,반도체 제조업
96,넥센,고무제품 제조업
97,넥센타이어,고무제품 제조업
98,노루페인트,기타 화학제품 제조업
99,노바렉스,기타 식품 제조업
100,녹십자,의약품 제조업
101,농심,기타 식품 제조업
102,다스코,"구조용 금속제품, 탱크 및 증기발생기 제조업"
103,다원시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
104,대동,특수 목적용 기계 제조업
105,대동전자,통신 및 방송 장비 제조업
106,대림비앤코,"내화, 비내화 요업제품 제조업"
107,대림통상,기타 금속 가공제품 제조업
108,대상,기타 식품 제조업
109,대성에너지,연료용 가스 제조 및 배관공급업
110,대아티아이,기타 전기장비 제조업
111,대양금속,1차 철강 제조업
112,대영포장,"골판지, 종이 상자 및 종이용기 제조업"
113,대우부품,자동차 신품 부품 제조업
114,대웅,의약품 제조업
115,대웅제약,의약품 제조업
116,대원강업,자동차 신품 부품 제조업
117,대원전선,절연선 및 케이블 제조업
118,대원제약,의약품 제조업
119,대원화성,플라스틱제품 제조업
120,대유에이텍,자동차 신품 부품 제조업
121,대유플러스,통신 및 방송 장비 제조업
122,대주전자재료,전자부품 제조업
123,대창,1차 비철금속 제조업
124,대창단조,자동차 신품 부품 제조업
125,대한방직,직물직조 및 직물제품 제조업
126,대한유화,기초 화학물질 제조업
127,대한전선,절연선 및 케이블 제조업
128,대한제강,1차 철강 제조업
129,대한제당,"곡물가공품, 전분 및 전분제품 제조업"
130,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
131,대한화섬,화학섬유 제조업
132,대현,봉제의복 제조업
133,대호에이엘,1차 비철금속 제조업
134,덕산네오룩스,전자부품 제조업
135,덕성,플라스틱제품 제조업
136,덕양산업,자동차 신품 부품 제조업
137,덴티움,의료용 기기 제조업
138,동국S&C,"구조용 금속제품, 탱크 및 증기발생기 제조업"
139,동국제강,1차 철강 제조업
140,동국제약,의약품 제조업
141,동남합성,기초 화학물질 제조업
142,동방아그로,"비료, 농약 및 살균, 살충제 제조업"
143,동성제약,의약품 제조업
144,동아에스티,의약품 제조업
145,동아타이어,고무제품 제조업
146,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
147,동양철관,1차 철강 제조업
148,동양피스톤,자동차용 엔진 및 자동차 제조업
149,동원F&B,기타 식품 제조업
150,동원금속,자동차 신품 부품 제조업
151,동원시스템즈,플라스틱제품 제조업
152,동일고무벨트,고무제품 제조업
153,동일산업,1차 철강 제조업
154,동일제강,1차 철강 제조업
155,동진쎄미켐,기초 화학물질 제조업
156,동화기업,나무제품 제조업
157,동화약품,의약품 제조업
158,두산밥캣,특수 목적용 기계 제조업
159,두산중공업,일반 목적용 기계 제조업
160,두산퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
161,두올,자동차 신품 부품 제조업
162,드림텍,전자부품 제조업
163,디씨엠,1차 철강 제조업
164,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
165,디아이씨,자동차 신품 부품 제조업
