,특성추출(가중치순 상위 50개),특성추출_번역,label,score
0,"경쟁자,김정태,변곡점,신년사,경쟁력,사회가치,인재채용,금융업,빅테크,이자이익,업무영역,환경사회지배구조,지속가능,성장기회,업권,운영모델,국내시장,그룹사,그룹사간,변화들,아시아,중요성,금융시장,ESG,금융,협업,글로벌,시장,성장","Competitors, Kim Jung -tae, inflection, New Year's history, competitiveness, social value, talent recruitment, financial business, big tech, interest income, work area, environmental social governance structure, sustainable, growth opportunity, business rights, operating model, domestic market, group company, group company Changes, Asia, importance, financial market, ESG, finance, collaboration, global, market, growth",Social,0.9575495719909668
1,"사모펀드,협회장,코로나19,위원장,투자자,금융위,김광수,소비자,빅테크,빅데이터,신년사,협회장들,금융감독체계,정희수,김주현,인공지능","Private Fund, Chairman of the Association, Corona 19, Chairman, Investor, Financial Services, Kim Kwang -su, Consumer, Big Tech, Big Data, New Year History, Association, Financial Supervision System, Jung Hee -soo, Kim Ju -hyun, Artificial Intelligence",Social,0.9634829759597778
2,"신년사,금융그룹,기업문화,만큼,ESG,김정태,경쟁력,계량화,금융업,비재무적,경쟁자,빅테크,일상생활,핀테크,공급자","New Year's History, Financial Group, Corporate Culture, as much as ESG, Kim Jung -tae, competitiveness, quantification, financial business, non -financial, competitor, big tech, daily life, fintech, supplier",Social,0.9692398309707642
3,"금융그룹,ESG,쓰나미,변곡,신년사,변곡점,아시아,사회가치,김정태,업권,경쟁자,기업문화,공급자","Financial Group, ESG, Tsunami, Transform, New Year's History, Transforms, Asia, Social Value, Kim Jung -tae, Rights, Competitors, Corporate Culture, Supplier",Social,0.983556866645813
4,"코로나,신용보증기금,이사장,생텍쥐페리,경쟁력,스타트업,임직원,뉴딜,공공기관,80조,중소기업","Corona, Credit Guarantee Fund, Chairman, Saint -Tech Juperi, Competitiveness, Startup, Employees, New Deal, Public Institution",Social,0.9686185717582703
5,"생보산업,소비자,생보사,코로나19,빅데이터,정희수,헬스케어,실손,생명보험,회원사,빅테크,코로나,저금리,신년사,전산화,안전망,고객신뢰,경영여건","Life Industry, Consumer, Life Insurance, Corona 19, Big Data, Jung Hee -su, Healthcare, Loss, Life Insurance, Membership, Big Tech, Corona, Low Interest, New Year History, Computerization",Social,0.557658851146698
6,"인텔,리그테이블,사업부,1조,10조,3조,독일,한국,1위,두산그룹","Intel, League Table, Division, 1 trillion, trillion, 3 trillion, Germany, Korea, 1st place, Doosan Group",None,0.5306918025016785
7,"한국은행,정희수,빅테크,협회장,금융업,김주현,친환경,아마존,김광수,이주열,금융사,빅데이터,정지원,지속가능,코로나,협회장들,신년사,금융협회장","Bank of Korea, Chung Hee -soo, Big Tech, Chairman of the Association, Financial Industry, Kim Ju -hyun, Eco -friendly, Amazon, Kim Kwang -su, Lee Ju -yeol, Financial Company, Big Data, Jung Ji -won, Sustainable, Corona, Association, New Year History",Social,0.9531118273735046
8,"사내방송,ESG,SK이노베이션,만큼,SK,구성원,이해관계자들,이해관계자,투명경영,INNOVATION,사업구조,SYSTEM,BROADCASTING,BALANCE,GROUP,GREEN,GBS,경영,이노베이션,그린,명칭,사내,비중,밸런스,사업,방송,전사,성장,요인,콘셉트,시장,변화,소통,책임,의미,자체적,자체","In -house broadcasting, ESG, SK Innovation, as much as SK, members, stakeholders, stakeholders, transparent management, Innovation, business structure, System, Broadcasting, Balance, Group, Green In weight, balance, business, broadcasting, warrior, growth, factor, concept, market, change, communication, responsibility, meaning, itself",Social,0.9825980067253113
9,"ETF,ESG,코덱스,삼성자산운용,신재생,유안타증권,신재생에너지,김후정,테마군,인베스코,리서치센터,증권가,삼성액티브운용,KBSTAR,전문가들,경각심,전문가,블랙록,지배구조,연구원,친환경,코로나19,인공지능,삼성,매니저들,신재,상장지수펀드,투자자금,펀드매니저","ETF, ESG, Codex, Samsung Asset Management, Renewable, Yuanta Securities, Renewable Energy, Kim Hu -jeong, Theme Army, Invesco, Research Center, Securities, Samsung Active Management, KBSTAR Governance, researcher, eco -friendly, corona 19, artificial intelligence, Samsung, managers, Shinjae, Listing Index Fund, Investment Fund, Fund Manager",Social,0.8273963332176208
10,"이사장,스타트업,머니볼,유니콘,윤대희,빌리,로드맵,지배구조,ESG,애슬레틱스,신년사,신기록,오클랜드,신용보증기금","Chairman, Startup, Money Ball, Unicorn, Yoon Dae -hee, Billy, Roadmap, Governance, ESG, Athletics, New Year History, New Records, Auckland, Credit Guarantee Fund",Social,0.9169946908950806
11,"농협중앙회,본부장,퇴직연금부장,농협,권준학,임추위,로보어드바이저,고객부장,개인고객부장,중앙회,로보,NH,지배구조,농협금융지주,적임자,계열사,소비자,금융교육센터,부행장,주주총회,은행장,위원회,농협은행장","National Agricultural Cooperative Federation, Head of Retirement Pension, Nonghyup, Kwon Joon -hak, Lim Chui, RoboAdvisor, Customer Director, Personal Customer Director, National Assembly Vice President, Shareholders' Meeting, Bank President, Committee, Nonghyup Bank President",Governance,0.4658961892127991
12,"농협,본부장,농협은행,농협중앙회,임추위,은행장,권준학,지배구조,후보자,개인고객부장,사업시너지,고객부장,임원후보추천위원회,경희대,소비자,평택고,금융권,적임자,경영능력,위원회,농협은행장,영업점","Nonghyup, Head of Nonghyup, Nonghyup Bank, Nonghyup Federation, Lim Chu -wi, Bank President, Kwon Joon -hak, Governance, Candidate, Personal Customer Director, Business Synergy, Customer Director, Executive Candidate Recommendation Committee, Kyung Hee University Ability, Committee, Nonghyup Bank, branch office",Governance,0.6863349676132202
13,"농협은행,본부장,농협중앙회,농협,농협금융지주,200회,관계자,임추위,권준학,은행장,농협은행장,지배구조,개인고객부장,일주일,고객부장,경희대,최소화,소비자,평택고,9개월,경영승계절차","Nonghyup Bank, Head of Nonghyup, Nonghyup, Nonghyup, Nonghyup Financial Group, 200 times, officials, Lim Chu -wi, Kwon Joon -hak, Bank President, Nonghyup Bank, Governance, Personal Customer Director, Week, Customer Director, Kyung Hee University, Minimization, Consumer, Pyeongtaek High School , 9 months, management winning procedure",Social,0.8346896171569824
14,"빅데이터,생보사,금융산업,정희수,아마존,소비자,협회장,디지털화,보험금,연착륙,코로나19,실손,의료기관","Big data, life insurer, financial industry, Chung Hee -soo, Amazon, Consumer, Association, Digitalization, Insurance, soft landing, corona 19, loss, medical institution",Social,0.831679105758667
15,"미국,상반기,그동안,PB,중국,팀장,지점장,주요은행,ESG,신흥국,반도체,신한은행,대형주,우리은행,코로나바이러스,허도경,친환경,신현조,씨티은행,이진성","The United States, the first half of the year, PB, China, team leader, branch manager, major bank, ESG, emerging economy, semiconductor, Shinhan Bank, Large Lord, Woori Bank, Corona Virus, Heo -kyung, Eco -friendly, Shin Hyunjo, Citi Bank, Lee Jin -sung",Social,0.8397154808044434
16,"코로나19,금융산업,소비자,금융인,코로나,친환경,우리나라,디지털화,금융지원,신년사,소비자보호","Corona 19, Financial Industry, Consumer, Financial Investigator, Corona, Eco -Friendly, Korea, Digitalization, Financial Support, New Year History, Consumer Protection",Social,0.9574648141860962
17,"소비자,디지털화,김광수,소비자보호,사후관리,연합회장,중요성,금융산업,핵심가치,지배구조,참여자들,정보통신기업,중소기업,충당금,금융업,참여자,선제적,코로나19,감염증,소상공인,인공지능,코로나바이러스,빅데이터,압축적,기간산업,빅테크,세계화,대유행","Consumers, digitalization, Kim Kwang -su, consumer protection, follow -up management, union chairman, importance , Artificial intelligence, corona virus, big data, compressive, term industry, big tech, globalization, vague",Social,0.9656462669372559
18,"중요성,소비자,친환경,김광수,우보만리,연합회장,불평등,소비자보호,그간,배출량,공식화,사후관리,코로나,신년사,고용증대,지배구조,재설계,牛步萬里,뉴딜,자금조달,환경리스크,은행연합회,핀테크,금융지원","Importance, consumer, eco -friendly, Kim Kwang -su, Woobo Manri, Union President, Inequality, Consumer Protection, In the meantime, formalization, follow -up management, corona, New Year's history, employment increase, governance structure Environmental risks, bank associations, fintech, financial support",Social,0.7963718771934509
19,"농협중앙회,농협은행,농협은행장,임추위,ESG,본부장,농협금융지주,빅데이터,로보어드바이저,권준학,경영진,속전속결,이성희,NH,계열사,영업점,평택","Nonghyup Federation, Nonghyup Bank, Nonghyup Bank, Lim Chu -wi, ESG, Head of Nonghyup Financial Group, Big Data, RoboAdvisor, Kwon Joon -hak",None,0.714948296546936
20,"코로나19,뉴딜,ESG,증권사,IB,사업부,인더스트리팀,구조조정,큰장,관계자,한국투자,KB증권,코로나바이러스,한국판,NH","Corona 19, New Deal, ESG, Securities, IB, Business Division, Industry Team, Restructuring, Big Commander, Staff, Korea Investment, KB Securities, Corona Virus, Korean version, NH",None,0.6395982503890991
21,"산은,1조,ESG채권,ESG,외부검증,사후보고,코로나19,투자자안내문,안내문,일자리,일자리창출기업,지속가능,뉴딜,투자자,관리체계,지배구조,관계자,자금사용내역,산업은행,금융지원,국내은행,2000억,딜로이트안진","San Eun, 1 trillion, ESG bond, ESG, external verification, post -report, corona 19, investor guide, guide, job, job creation company, sustainable, New Deal, Investor, Management System Bank, financial support, domestic banks, 200 billion, Deloitte Anjin",Social,0.9332573413848877
22,"산업은행,뉴딜,녹색금융,선임부행장,한국판,부문장,최대현,박선경,선임부행장직,심사평가부문,자본시장,4개,집행부행장,관계자,영업점,산은,그린산업협력단,업무량,운용단,감시인,경영진,부문별,센터장,저탄소경제,협력단,신산업금융실,신산업심사단,신산업심사부","KDB, New Deal, Green Finance, Vice -President of Senior, Head of Korean Vice -President, Myeong Hyun, Park Seon -kyung, Senior Vice President, Judging Evaluation Division, Capital Market, 4, Vice President, State, Broadcasting Store, San Eun, Green Industrial Cooperation Group, Green Industrial Cooperation Group Watcher, management, division, center manager, low -carbon economy, cooperation group, new industrial finance office, new industrial examination team",Social,0.6769441366195679
23,"농협은행,농협,본부장,농협금융,권준학,빅데이터,후보자,임추위,농협은행장,은행장,농협중앙회,로보어드바이저,고도화,NH,로보,고객부장,경희대,주주총회,최소화,개인고객부장,소비자,경기영업본부장,임원후보추천위원회,평택고","Nonghyup Bank, Nonghyup, General Manager, Nonghyup Finance, Kwon Jun -hak, Big Data, Candidate, Lim Chu -wi, Nonghyup Bank, Bank President, Nonghyup National Federation, RoboAdvisor, Advancement, NH, Robo, Customer Director, Kyung Hee University Director, Consumer, Gyeonggi Sales Division, Executive Candidate Recommendation Committee, Pyeongtaek High School",Social,0.8291125297546387
24,"금융산업,김광수,그동안,불평등,친환경,신년사,소비자,선제적,환경리스크,ESG,핵심가치,연합회,지배구조,금융지원,금융사,국경봉쇄,코로나19,연합회장,세계화,디지털화,산업,회장","Financial Industry, Kim Kwang -soo, I've been inequality, eco -friendly, new year's history, consumer, preemptive, environmental risk, ESG, core values, union associations, governance structure, financial support, financial history ,Chairman",Social,0.7042508721351624
25,"신한카드,임직원,아름,도서관,지역사회,코로나19,ESG,꿈드림,취약계층,위생용품,용인시,경기도,난치병,환아,전문가,LG,롯데면세점,유플러스,서울시,대구시,자녀안심,복지관,어린이병원","Shinhan Card, Employees, Beautiful, Library, Community, Corona 19, ESG, Dream Dream, Vulnerable Class, Sanitary Products, Yongin City, Gyeonggi -do, Insurance Disease , Welfare Center, Children's Hospital",Social,0.9845765829086304
26,"선임부행장,부문장,산은,뉴딜,산업은행,집행부행장,코로나19,구조조정,부문별,박선경,지원책,안영규,본격화,최대현,감염증,기업금융부문,수석부행장,기획부,한국판,KDB,집행부,자회사","Vice -President, Division Director, San Eun, New Deal, Industrial Bank, Vice -President, Corona 19, Restructuring, Division, Park Sun -kyung, Support Measure, Ahn Young -gyu, Full -scale, Maxim, Infectious Disease, Corporate Finance Division, Vice President, Planning Department, KDB ,Subsidiary company",Governance,0.5431405901908875
