,회사명,업종
0,AJ네트웍스,산업용 기계 및 장비 임대업
1,AK홀딩스,기타 금융업
2,BGF,기타 금융업
3,BGF리테일,종합 소매업
4,BNK금융지주,기타 금융업
5,CJ,기타 금융업
6,CJCGV,"영화, 비디오물, 방송프로그램 제작 및 배급업"
7,CJENM,텔레비전 방송업
8,CJ대한통운,도로 화물 운송업
9,CJ프레시웨이,음·식료품 및 담배 도매업
10,CS홀딩스,기타 금융업
11,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
12,DB금융투자,금융 지원 서비스업
13,DB손해보험,보험업
14,DGB금융지주,기타 금융업
15,DL,기타 금융업
16,DL건설,건물 건설업
17,E1,기타 전문 도매업
18,F&F홀딩스,기타 금융업
19,GKL,유원지 및 기타 오락관련 서비스업
20,GS,기타 금융업
21,GS건설,건물 건설업
22,GS글로벌,상품 종합 도매업
23,GS리테일,종합 소매업
24,HDC,기타 금융업
25,HDC아이콘트롤스,전기 및 통신 공사업
26,HDC현대산업개발,건물 건설업
27,HMM,해상 운송업
28,JB금융지주,기타 금융업
29,JW홀딩스,기타 금융업
30,JYPENT.,오디오물 출판 및 원판 녹음업
31,KB금융,기타 금융업
32,KCC건설,건물 건설업
33,KC그린홀딩스,기타 금융업
34,KGETS,폐기물 처리업
35,KG모빌리언스,소프트웨어 개발 및 공급업
36,KG이니시스,소프트웨어 개발 및 공급업
37,KSS해운,해상 운송업
38,KTB투자증권,금융 지원 서비스업
39,KTCS,기타 정보 서비스업
40,KTIS,기타 정보 서비스업
41,KT서브마린,전기 및 통신 공사업
42,LG,기타 금융업
43,LG유플러스,전기 통신업
44,LG헬로비전,텔레비전 방송업
45,LS,기타 금융업
46,LS네트웍스,상품 종합 도매업
47,LS전선아시아,기타 금융업
48,LX인터내셔널,상품 중개업
49,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
50,NHN한국사이버결제,기타 정보 서비스업
51,NH투자증권,금융 지원 서비스업
52,NICE,회사 본부 및 경영 컨설팅 서비스업
53,NICE평가정보,기타 정보 서비스업
54,SBS,텔레비전 방송업
55,SBS콘텐츠허브,"영화, 비디오물, 방송프로그램 제작 및 배급업"
56,SGC에너지,전기업
57,SGC이테크건설,건물 건설업
58,SG세계물산,상품 종합 도매업
59,SK,기타 금융업
60,SK가스,기타 전문 도매업
61,SK네트웍스,기타 전문 도매업
62,SK디스커버리,기타 금융업
63,SK디앤디,부동산 임대 및 공급업
64,SK렌터카,운송장비 임대업
65,SK증권,금융 지원 서비스업
66,SK텔레콤,전기 통신업
67,SNT홀딩스,기타 금융업
68,STX,상품 종합 도매업
69,YGPLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
70,강원랜드,유원지 및 기타 오락관련 서비스업
71,갤럭시아머니트리,소프트웨어 개발 및 공급업
72,갤럭시아에스엠,스포츠 서비스업
73,경동인베스트,기타 금융업
74,경방,종합 소매업
75,계룡건설산업,토목 건설업
76,골프존,소프트웨어 개발 및 공급업
77,광주신세계,종합 소매업
78,교보증권,금융 지원 서비스업
79,국동,생활용품 도매업
80,국보,도로 화물 운송업
81,금호건설,건물 건설업
82,기업은행,은행 및 저축기관
83,까뮤이앤씨,건물 건설업
84,나스미디어,광고업
85,나우IB,기타 금융업
86,남광토건,토목 건설업
87,남성,기타 전문 도매업
88,넥스트사이언스,기타 비금속광물 광업
89,넷마블,소프트웨어 개발 및 공급업
90,노루홀딩스,기타 금융업
91,녹십자랩셀,"그외 기타 전문, 과학 및 기술 서비스업"
92,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업
93,농심홀딩스,기타 금융업
94,농우바이오,작물 재배업
95,다나와,소프트웨어 개발 및 공급업
96,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
97,다우데이타,기계장비 및 관련 물품 도매업
98,대교,초등 교육기관
99,대구백화점,종합 소매업
100,대덕,기타 금융업
101,대상홀딩스,기타 금융업
102,대성산업,연료 소매업
103,대성홀딩스,회사 본부 및 경영 컨설팅 서비스업
104,대신증권,금융 지원 서비스업
105,대우건설,건물 건설업
106,대우조선해양,선박 및 보트 건조업
107,대한항공,항공 여객 운송업
108,대한해운,해상 운송업
109,더블유게임즈,소프트웨어 개발 및 공급업
110,더존비즈온,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
111,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
112,동방,기타 운송관련 서비스업
113,동부건설,토목 건설업
114,동서,음·식료품 및 담배 도매업
115,동성케미컬,회사 본부 및 경영 컨설팅 서비스업
116,동아쏘시오홀딩스,기타 금융업
117,동아지질,기반조성 및 시설물 축조관련 전문공사업
118,동양고속,육상 여객 운송업
119,동양생명,보험업
120,동원산업,어로 어업
121,동원수산,어로 어업
122,두산,기타 금융업
123,드림어스컴퍼니,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
124,디아이동일,상품 중개업
125,디와이,기타 금융업
126,디피씨,신탁업 및 집합투자업
127,레고켐바이오,자연과학 및 공학 연구개발업
128,롯데관광개발,여행사 및 기타 여행보조 서비스업
129,롯데손해보험,보험업
130,롯데쇼핑,종합 소매업
131,롯데정보통신,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
132,롯데지주,기타 금융업
133,롯데하이마트,가전제품 및 정보통신장비 소매업
134,리더스기술투자,신탁업 및 집합투자업
135,마니커,"도축, 육류 가공 및 저장 처리업"
