,회사명,업종
0,DI동일,상품 중개업
1,DL이앤씨,토목 건설업
2,ESR켄달스퀘어리츠,부동산 임대 및 공급업
3,HDC랩스,전기 및 통신 공사업
4,HJ중공업,토목 건설업
5,HLB글로벌,기타 비금속광물 광업
6,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
7,KCTC,도로 화물 운송업
8,KT,전기 통신업
9,LX홀딩스,기타 금융업
10,NHN,소프트웨어 개발 및 공급업
11,NH올원리츠,부동산 임대 및 공급업
12,NH프라임리츠,부동산 임대 및 공급업
13,SJM홀딩스,자동차 부품 및 내장품 판매업
14,SK리츠,부동산 임대 및 공급업
15,SK바이오팜,자연과학 및 공학 연구개발업
16,SK스퀘어,기타 금융업
17,계룡건설,토목 건설업
18,교촌에프앤비,음·식료품 및 담배 도매업
19,다올투자증권,금융 지원 서비스업
20,디앤디플랫폼리츠,부동산 임대 및 공급업
21,롯데렌탈,운송장비 임대업
22,롯데리츠,부동산 임대 및 공급업
23,마스턴프리미어리츠,부동산 임대 및 공급업
24,맥쿼리인프라,신탁업 및 집합투자업
25,맵스리얼티1,신탁업 및 집합투자업
26,모두투어리츠,부동산 임대 및 공급업
27,미래에셋글로벌리츠,부동산 임대 및 공급업
28,미래에셋맵스리츠,부동산 임대 및 공급업
29,바다로19호,운송장비 임대업
30,베트남개발1,신탁업 및 집합투자업
31,삼성화재,보험업
32,수산인더스트리,건물설비 설치 공사업
33,스카이라이프,텔레비전 방송업
34,스틱인베스트먼트,신탁업 및 집합투자업
35,신한서부티엔디리츠,부동산 임대 및 공급업
36,신한알파리츠,부동산 임대 및 공급업
37,에이리츠,부동산 임대 및 공급업
38,에이플러스에셋,보험 및 연금관련 서비스업
39,엔에이치스팩19호,금융 지원 서비스업
40,엘브이엠씨홀딩스,자동차 판매업
41,유진투자증권,금융 지원 서비스업
42,이리츠코크렙,부동산 임대 및 공급업
43,이지스레지던스리츠,부동산 임대 및 공급업
44,이지스밸류리츠,부동산 임대 및 공급업
45,제이알글로벌리츠,부동산 임대 및 공급업
46,초록뱀헬스케어,기계장비 및 관련 물품 도매업
47,카카오뱅크,은행 및 저축기관
48,카카오페이,금융 지원 서비스업
49,케이카,자동차 판매업
50,케이탑리츠,부동산 임대 및 공급업
51,코람코더원리츠,부동산 임대 및 공급업
52,코람코에너지리츠,부동산 임대 및 공급업
53,콘텐트리중앙,"영화, 비디오물, 방송프로그램 제작 및 배급업"
54,크래프톤,소프트웨어 개발 및 공급업
55,티와이홀딩스,기타 금융업
56,프레스티지바이오파마,자연과학 및 공학 연구개발업
57,플레이그램,기타 전문 도매업
58,하이브,오디오물 출판 및 원판 녹음업
59,한국ANKOR유전,신탁업 및 집합투자업
60,한국전력,전기업
61,한국패러랠,신탁업 및 집합투자업
62,한솔PNS,기타 전문 도매업
63,현대중공업,선박 및 보트 건조업
64,현대퓨처넷,전기 통신업
65,APS홀딩스,기타 금융업
66,BNGT,기계장비 및 관련 물품 도매업
67,CJ바이오사이언스,자연과학 및 공학 연구개발업
68,CNH,신탁업 및 집합투자업
69,CNT85,건물설비 설치 공사업
70,DB금융스팩10호,기타 금융업
71,DB금융스팩8호,기타 금융업
72,DB금융스팩9호,금융 지원 서비스업
73,DSC인베스트먼트,신탁업 및 집합투자업
74,EDGC,자연과학 및 공학 연구개발업
75,EG,토목 건설업
76,ES큐브,생활용품 도매업
77,FSN,소프트웨어 개발 및 공급업
78,GRT,기타 금융업
79,HLB,선박 및 보트 건조업
80,HLB생명과학,"건축기술, 엔지니어링 및 관련 기술 서비스업"
